candidate_id,rank,score,reasoning
CAND_0077337,1,0.450588,"Exceptionally well-aligned: 7 years as Staff Machine Learning Engineer at Paytm, with hands-on depth in Information Retrieval and Semantic Search that directly satisfies the core requirements for production ranking and retrieval system requirements for a founding AI engineer. Note: a 60-day notice period."
CAND_0002025,2,0.435292,Senior AI Engineer at Apple with 5.9 years of experience and hands-on depth in Sentence Transformers and Pinecone — one of the strongest fits for production ranking and retrieval system requirements for a founding AI engineer.
CAND_0081846,3,0.435292,"Strong signal from 6.7 years in this domain: Lead AI Engineer at Razorpay brings hands-on depth in Information Retrieval and Vector Search, a near-ideal match for production ranking and retrieval system requirements for a founding AI engineer."
CAND_0006567,4,0.412774,High-confidence match — Senior AI Engineer at Meta (7.9 yrs) with hands-on depth in Vector Representations and Search & Discovery; among the clearest signals in the candidate pool for production ranking and retrieval system requirements for a founding AI engineer. Note: a 60-day notice period.
CAND_0011687,5,0.412774,"Top-tier candidate — Senior NLP Engineer at Niramai, 7.8 years, with hands-on depth in Embeddings and Semantic Search squarely matching the role's most critical requirements."
CAND_0018499,6,0.412774,Senior Machine Learning Engineer at Zomato with 7.2 years of experience and hands-on depth in Information Retrieval and Embeddings — one of the strongest fits for production ranking and retrieval system requirements for a founding AI engineer.
CAND_0008425,7,0.394714,"Exceptionally well-aligned: 7.8 years as Senior NLP Engineer at Ola, with hands-on depth in Information Retrieval and Semantic Search that directly satisfies the core requirements for production ranking and retrieval system requirements for a founding AI engineer. Note: a 90-day notice period."
CAND_0061257,8,0.394714,"Career trajectory as Staff Machine Learning Engineer at LinkedIn (8 yrs) evidences hands-on depth in Information Retrieval Systems and Indexing Algorithms, placing this profile among the best fits for production ranking and retrieval system requirements for a founding AI engineer."
CAND_0064326,9,0.394714,"Strong signal from 7.6 years in this domain: Search Engineer at Sarvam AI brings hands-on depth in Semantic Search and Weaviate, a near-ideal match for production ranking and retrieval system requirements for a founding AI engineer. Note: a 45-day notice period."
CAND_0071974,10,0.394714,"Career trajectory as Senior AI Engineer at Netflix (7.8 yrs) evidences hands-on depth in Information Retrieval and Embeddings, placing this profile among the best fits for production ranking and retrieval system requirements for a founding AI engineer. Note: a 45-day notice period."
CAND_0088025,11,0.394249,"Well-evidenced fit — 8.6 years as Staff Machine Learning Engineer at Yellow.ai with hands-on depth in Pinecone and Pgvector, solid alignment with production ranking and retrieval system requirements for a founding AI engineer. Note: a 90-day notice period."
CAND_0079387,12,0.391776,"Strong candidate: AI Engineer at Microsoft with 6.9 years and hands-on depth in Vector Search and Sentence Transformers, covering the key requirements for production ranking and retrieval system requirements for a founding AI engineer."
CAND_0093193,13,0.386355,"Well-evidenced fit — 7.9 years as Senior Machine Learning Engineer at Niramai with hands-on depth in Information Retrieval Systems and Indexing Algorithms, solid alignment with production ranking and retrieval system requirements for a founding AI engineer. Note: a 45-day notice period."
